job_title, company_name, job_place, job_type
Data Engineer, Blackstone eIT -, Dubai, United Arab Emirates, Full Time
Data Scientist, Etihad Airways -, Abu Dhabi, United Arab Emirates, Full Time
Data Privacy Analyst, Transguard group -, Dubai, United Arab Emirates, Full Time
Data Analyst, Momos -, Dubai, United Arab Emirates, Full Time
People Data Analytics Specialist | Retail | Corporate, Al Futtaim Group -, Dubai, United Arab Emirates, Full Time
Sales Data Analytics Specialist, Merck Sharp & Dohme Corp -, Dubai, United Arab Emirates, Full Time
National_HR Analyst - Offboarding, Al Futtaim Group -, Dubai, United Arab Emirates, Full Time
Digital Marketing Intern MENA, Brainport Eindhoven -, Dubai, United Arab Emirates, Full Time
Digital Marketing Intern MENA, Philips Ultrasound -, Dubai, United Arab Emirates, Full Time
Data Center Engineering Operations Internship - UAE National Only, Amazon Data Services Emirates LLC - Dubai Branch -, Dubai, United Arab Emirates, Full Time
Data Center Engineering Operations Internship - UAE National Only, Amazon Data Services Emirates LLC -, Abu Dhabi, United Arab Emirates, Full Time
PMO Analyst, Atribs Metscon -, Abu Dhabi, United Arab Emirates, Full Time
Merchandising Executive, ARK HR Management Consultancy -, Dubai, United Arab Emirates, Full Time
Operations Analyst, Etihad Airways -, Abu Dhabi, United Arab Emirates, Full Time
CTRM Consultant with Management Consulting and Commodity Trading Experience, BBGC -, Dubai, United Arab Emirates, Full Time
